model_name,task_type,train_neg_mse,test_neg_mse,train_neg_mae,test_neg_mae,train_r2,test_r2,fit_time,score_time,train_f1_weighted,test_f1_weighted,train_accuracy,test_accuracy,train_roc_auc_ovr,test_roc_auc_ovr
Linear Regression,regression,2621579.4664752865,2660676.9325070553,1150.9832661120454,1159.7528218927305,0.988095077626142,0.9878201903743671,0.006409358978271484,0.0026816844940185545,,,,,,
Random Forest Regressor,regression,153209.46340883282,1082495.887567062,216.20446455000075,555.5410821000002,0.999301784224318,0.9951715275543049,0.1896665096282959,0.04350957870483398,,,,,,
Random Forest Regressor (Tuned),regression,247780.9803223599,1131548.2280271966,270.033007823481,572.471422574001,0.9988724327245844,0.994940113701287,0.20285978317260742,0.04700617790222168,,,,,,
XGBoost Regressor,regression,1446.5684998460065,1032801.1019044623,26.52413632812499,634.3618252343751,0.9999934590524475,0.9953119530214991,0.10286731719970703,0.0056993961334228516,,,,,,
XGBoost Regressor (Tuned),regression,113407.18260910668,607460.627075688,259.7336716796875,537.394680390625,0.9994852298235786,0.9972252381302209,0.06660089492797852,0.0049189567565917965,,,,,,
Random Forest Classifier,classification,,,,,,,0.177459192276001,0.10771589279174805,1.0,0.9849587475633527,1.0,0.986,1.0,0.998900243364303
Random Forest Classifier (Tuned),classification,,,,,,,0.13091034889221193,0.08679356575012206,1.0,0.9939342253157359,1.0,0.994,1.0,0.9991343116991299
XGBoost Classifier,classification,,,,,,,0.06235523223876953,0.01119093894958496,1.0,0.9959630478173327,1.0,0.9960000000000001,1.0,0.9986246168956783
XGBoost Classifier (Tuned),classification,,,,,,,0.1760166645050049,0.021113109588623048,1.0,0.9959630478173327,1.0,0.9960000000000001,1.0,0.9994684515515413
